year,Private Enterprise Starts,Housing Association Starts,Local Authority Starts,All Starts,Private Enterprise Completions,Housing Association Completions,Local Authority Completions,All Completions
1946,,,,,28760,100,20400,49250
1947,,,,,38630,860,81370,120860
1948,,,,,30370,1820,161400,193590
1949,,,,,23800,1330,136980,162110
1950,,,,,25310,1500,136530,163340
1951,,,,,20170,1610,140510,162290
1952,,,,,30500,1800,164620,196930
1953,,,,,58270,7200,198210,263680
1954,,,,,85380,14020,193710,293110
1955,,,,,106800,4350,158860,270010
1956,,,,,115940,2400,137750,256100
1957,,,,,118820,1880,135660,256360
1958,,,,,119910,1120,110120,231150
1959,,,,,141510,1100,95990,238600
1960,,,,,156020,1650,99950,257620
1961,,,,,163350,1560,91250,256160
1962,,,,,159520,1550,102490,263560
1963,,,,,160630,1930,94020,256580
1964,,,,,200670,2850,114020,317540
1965,,,,,196750,3620,127290,327660
1966,,,,,187890,4100,138140,330120
1967,,,,,183720,4520,154500,342740
1968,,,,,203320,5540,143680,352540
1969,,,,,164070,7100,135700,306860
1970,,,,,153440,8180,130180,291790
1971,,,,,170820,10170,113680,294680
1972,,,,,173990,6900,91630,272520
1973,,,,,163460,8340,77920,249710
1974,,,,,121490,9260,98610,229360
1975,,,,,131480,13650,116330,261460
1976,,,,,130900,14440,118090,263430
1977,,,,,121570,24190,115840,261600
1978,133580.0,17950.0,75150.0,226680.0,127490,20570,93300,241360
1979,121140.0,14250.0,55200.0,190580.0,118390,16280,74790,209460
1980,83300.0,12900.0,33540.0,129740.0,110230,19300,74840,204370
1981,99610.0,9860.0,21660.0,130760.0,98900,16820,54880,170600
1982,122470.0,14320.0,28870.0,165650.0,108790,11180,31660,151630
1983,147830.0,11750.0,29420.0,189010.0,129490,14340,29900,173720
1984,133410.0,11210.0,24110.0,168720.0,138970,13920,29190,182080
1985,141110.0,10170.0,18650.0,169920.0,135460,11300,23280,170040
1986,154000.0,10880.0,16840.0,181760.0,148890,10620,19630,179140
1987,171200.0,9580.0,16020.0,196800.0,161740,10940,16620,189300
1988,193480.0,10370.0,13450.0,217290.0,176020,10780,16130,202930
1989,141450.0,11000.0,12770.0,165220.0,154000,10650,14700,179360
1990,112720.0,14110.0,6640.0,133470.0,136060,13820,14020,163900
1991,114300.0,16440.0,3060.0,133800.0,131170,15300,8130,154600
1992,99590.0,28110.0,1600.0,129300.0,119530,20790,3510,143830
1993,116460.0,33570.0,1200.0,151230.0,116630,29780,1420,147840
1994,131400.0,33580.0,450.0,165440.0,122700,30850,1090,154640
1995,110410.0,25230.0,590.0,136230.0,125470,30890,790,157140
1996,121590.0,22630.0,490.0,144710.0,121550,27020,510,149090
1997,136070.0,21190.0,310.0,157570.0,128240,20970,290,149490
1998,131810.0,17480.0,100.0,149400.0,122510,19900,240,142650
1999,130290.0,17920.0,170.0,148370.0,123180,17780,50,141010
2000,128480.0,14030.0,110.0,142610.0,118330,16680,90,135100
2001,133320.0,13270.0,180.0,146770.0,114840,14500,160,129510
2002,135970.0,14560.0,160.0,150700.0,123320,13310,180,136800
2003,145380.0,15590.0,300.0,161280.0,131060,12820,180,144060
2004,157140.0,19360.0,170.0,176680.0,137330,16600,130,154060
2005,152800.0,20920.0,180.0,173900.0,141740,17540,180,159450
2006,149210.0,21110.0,290.0,170610.0,139900,20660,280,160850
2007,159910.0,23540.0,150.0,183600.0,154210,22180,250,176640
2008,82370.0,24150.0,370.0,106890.0,121100,26470,430,148010
2009,64990.0,20460.0,140.0,85600.0,97620,26990,360,124970
2010,84850.0,24350.0,1460.0,110660.0,83280,22650,790,106720
2011,87790.0,23800.0,1700.0,113260.0,85870,25940,2230,114020
2012,80250.0,19260.0,1510.0,101020.0,88740,25440,1410,115590
2013,98820.0,24900.0,1070.0,124790.0,87010,21590,840,109440
2014,111800.0,26340.0,2620.0,140760.0,92850,23780,1180,117810
2015,120580.0,25890.0,1670.0,148150.0,110710,30120,1650,142470
2016,128160.0,25340.0,1650.0,155150.0,115350,24430,2100,141870
2017,135290.0,26990.0,1820.0,164110.0,133460,27280,1750,162480
2018,138180.0,28000.0,2430.0,168610.0,135210,27590,2690,165490
2019,123060.0,28160.0,1780.0,153000.0,143690,32000,2190,177880
2020,102450.0,25210.0,1780.0,129440.0,120060,25320,1270,146650
2021,142180.0,32410.0,2580.0,177160.0,142130,31220,1590,174940
2022,142760.0,37730.0,1580.0,182070.0,144910,31820,1620,178350
2023,112860.0,34720.0,3020.0,150600.0,124970,35940,2360,163270
2024,76010.0,30820.0,1300.0,108140.0,115690,35380,2780,153850
2025,93570.0,30240.0,1040.0,124860.0,104410,35660,1970,142040
