component,year,region,value
Net additions,2000-01,North East,2890.0
Net additions,2001-02,North East,4489.0
Net additions,2002-03,North East,5343.0
Net additions,2003-04,North East,5231.0
Net additions,2004-05,North East,6972.0
Net additions,2005-06,North East,6927.0
Net additions,2006-07,North East,8561.0
Net additions,2007-08,North East,8898.0
Net additions,2008-09,North East,5700.0
Net additions,2009-10,North East,5131.0
Net additions,2010-11,North East,6105.0
Net additions,2011-12,North East,3939.0
Net additions,2012-13,North East,3589.0
Net additions,2013-14,North East,3488.0
Net additions,2014-15,North East,6908.0
Net additions,2015-16,North East,7171.0
Net additions,2016-17,North East,9838.0
Net additions,2017-18,North East,9142.0
Net additions,2018-19,North East,9419.0
Net additions,2019-20,North East,8987.0
Net additions,2020-21,North East,7144.0
Net additions,2021-22,North East,8926.0
Net additions,2022-23,North East,9339.0
Net additions,2023-24,North East,7937.0
Net additions,2024-25,North East,8337.0
New build,2000-01,North East,
New build,2001-02,North East,
New build,2002-03,North East,
New build,2003-04,North East,
New build,2004-05,North East,
New build,2005-06,North East,
New build,2006-07,North East,9038.0
New build,2007-08,North East,9600.0
New build,2008-09,North East,6060.0
New build,2009-10,North East,5078.0
New build,2010-11,North East,5795.0
New build,2011-12,North East,5310.0
New build,2012-13,North East,5663.0
New build,2013-14,North East,5034.0
New build,2014-15,North East,7533.0
New build,2015-16,North East,8022.0
New build,2016-17,North East,9869.0
New build,2017-18,North East,9776.0
New build,2018-19,North East,9651.0
New build,2019-20,North East,9120.0
New build,2020-21,North East,7482.0
New build,2021-22,North East,8836.0
New build,2022-23,North East,9222.0
New build,2023-24,North East,7951.0
New build,2024-25,North East,8573.0
Of which under PDR: building upwards to create dwelling houses on detached blocks of flats,2020-21,North East,0.0
Of which under PDR: building upwards to create dwelling houses on detached blocks of flats,2021-22,North East,0.0
Of which under PDR: building upwards to create dwelling houses on detached blocks of flats,2022-23,North East,0.0
Of which under PDR: building upwards to create dwelling houses on detached blocks of flats,2023-24,North East,0.0
Of which under PDR: building upwards to create dwelling houses on detached blocks of flats,2024-25,North East,0.0
Of which under PDR: building upwards to create dwelling houses on detached commercial or mixed-use buildings,2020-21,North East,0.0
Of which under PDR: building upwards to create dwelling houses on detached commercial or mixed-use buildings,2021-22,North East,0.0
Of which under PDR: building upwards to create dwelling houses on detached commercial or mixed-use buildings,2022-23,North East,0.0
Of which under PDR: building upwards to create dwelling houses on detached commercial or mixed-use buildings,2023-24,North East,0.0
Of which under PDR: building upwards to create dwelling houses on detached commercial or mixed-use buildings,2024-25,North East,0.0
Of which under PDR: building upwards to create dwelling houses on commercial or mixed-use buildings in a terrace,2020-21,North East,0.0
Of which under PDR: building upwards to create dwelling houses on commercial or mixed-use buildings in a terrace,2021-22,North East,0.0
Of which under PDR: building upwards to create dwelling houses on commercial or mixed-use buildings in a terrace,2022-23,North East,0.0
Of which under PDR: building upwards to create dwelling houses on commercial or mixed-use buildings in a terrace,2023-24,North East,0.0
Of which under PDR: building upwards to create dwelling houses on commercial or mixed-use buildings in a terrace,2024-25,North East,0.0
Of which under PDR: building upwards to create dwelling houses on dwelling houses in a terrace,2020-21,North East,0.0
Of which under PDR: building upwards to create dwelling houses on dwelling houses in a terrace,2021-22,North East,0.0
Of which under PDR: building upwards to create dwelling houses on dwelling houses in a terrace,2022-23,North East,0.0
Of which under PDR: building upwards to create dwelling houses on dwelling houses in a terrace,2023-24,North East,0.0
Of which under PDR: building upwards to create dwelling houses on dwelling houses in a terrace,2024-25,North East,0.0
Of which under PDR: building upwards to create dwelling houses on detached dwelling houses,2020-21,North East,0.0
Of which under PDR: building upwards to create dwelling houses on detached dwelling houses,2021-22,North East,0.0
Of which under PDR: building upwards to create dwelling houses on detached dwelling houses,2022-23,North East,0.0
Of which under PDR: building upwards to create dwelling houses on detached dwelling houses,2023-24,North East,0.0
Of which under PDR: building upwards to create dwelling houses on detached dwelling houses,2024-25,North East,0.0
Of which under PDR: demolition of buildings and construction of dwelling houses,2020-21,North East,0.0
Of which under PDR: demolition of buildings and construction of dwelling houses,2021-22,North East,0.0
Of which under PDR: demolition of buildings and construction of dwelling houses,2022-23,North East,0.0
Of which under PDR: demolition of buildings and construction of dwelling houses,2023-24,North East,0.0
Of which under PDR: demolition of buildings and construction of dwelling houses,2024-25,North East,0.0
Of which under PDR: unspecified (new build),2020-21,North East,0.0
Of which under PDR: unspecified (new build),2021-22,North East,0.0
Of which under PDR: unspecified (new build),2022-23,North East,0.0
Of which under PDR: unspecified (new build),2023-24,North East,0.0
Of which under PDR: unspecified (new build),2024-25,North East,0.0
Of which under PDR: total (new build),2020-21,North East,0.0
Of which under PDR: total (new build),2021-22,North East,0.0
Of which under PDR: total (new build),2022-23,North East,0.0
Of which under PDR: total (new build),2023-24,North East,0.0
Of which under PDR: total (new build),2024-25,North East,0.0
Net conversions,2000-01,North East,
Net conversions,2001-02,North East,
Net conversions,2002-03,North East,
Net conversions,2003-04,North East,
Net conversions,2004-05,North East,
Net conversions,2005-06,North East,
Net conversions,2006-07,North East,50.0
Net conversions,2007-08,North East,230.0
Net conversions,2008-09,North East,170.0
Net conversions,2009-10,North East,113.0
Net conversions,2010-11,North East,28.0
Net conversions,2011-12,North East,59.0
Net conversions,2012-13,North East,93.0
Net conversions,2013-14,North East,168.0
Net conversions,2014-15,North East,93.0
Net conversions,2015-16,North East,126.0
Net conversions,2016-17,North East,220.0
Net conversions,2017-18,North East,16.0
Net conversions,2018-19,North East,35.0
Net conversions,2019-20,North East,37.0
Net conversions,2020-21,North East,23.0
Net conversions,2021-22,North East,34.0
Net conversions,2022-23,North East,48.0
Net conversions,2023-24,North East,45.0
Net conversions,2024-25,North East,36.0
Net change of use,2000-01,North East,
Net change of use,2001-02,North East,
Net change of use,2002-03,North East,
Net change of use,2003-04,North East,
Net change of use,2004-05,North East,
Net change of use,2005-06,North East,
Net change of use,2006-07,North East,570.0
Net change of use,2007-08,North East,650.0
Net change of use,2008-09,North East,420.0
Net change of use,2009-10,North East,416.0
Net change of use,2010-11,North East,442.0
Net change of use,2011-12,North East,295.0
Net change of use,2012-13,North East,300.0
Net change of use,2013-14,North East,378.0
Net change of use,2014-15,North East,1034.0
Net change of use,2015-16,North East,767.0
Net change of use,2016-17,North East,1057.0
Net change of use,2017-18,North East,528.0
Net change of use,2018-19,North East,833.0
Net change of use,2019-20,North East,574.0
Net change of use,2020-21,North East,383.0
Net change of use,2021-22,North East,449.0
Net change of use,2022-23,North East,376.0
Net change of use,2023-24,North East,219.0
Net change of use,2024-25,North East,189.0
Of which under PDR: agricultural to residential,2015-16,North East,0.0
Of which under PDR: agricultural to residential,2016-17,North East,5.0
Of which under PDR: agricultural to residential,2017-18,North East,0.0
Of which under PDR: agricultural to residential,2018-19,North East,28.0
Of which under PDR: agricultural to residential,2019-20,North East,2.0
Of which under PDR: agricultural to residential,2020-21,North East,4.0
Of which under PDR: agricultural to residential,2021-22,North East,6.0
Of which under PDR: agricultural to residential,2022-23,North East,6.0
Of which under PDR: agricultural to residential,2023-24,North East,9.0
Of which under PDR: agricultural to residential,2024-25,North East,6.0
Of which under PDR: office to residential,2015-16,North East,195.0
Of which under PDR: office to residential,2016-17,North East,421.0
Of which under PDR: office to residential,2017-18,North East,200.0
Of which under PDR: office to residential,2018-19,North East,321.0
Of which under PDR: office to residential,2019-20,North East,260.0
Of which under PDR: office to residential,2020-21,North East,60.0
Of which under PDR: office to residential,2021-22,North East,80.0
Of which under PDR: office to residential,2022-23,North East,202.0
Of which under PDR: office to residential,2023-24,North East,9.0
Of which under PDR: office to residential,2024-25,North East,58.0
Of which under PDR: storage to residential,2015-16,North East,3.0
Of which under PDR: storage to residential,2016-17,North East,4.0
Of which under PDR: storage to residential,2017-18,North East,49.0
Of which under PDR: storage to residential,2018-19,North East,2.0
Of which under PDR: storage to residential,2019-20,North East,6.0
Of which under PDR: storage to residential,2020-21,North East,2.0
Of which under PDR: storage to residential,2021-22,North East,14.0
Of which under PDR: storage to residential,2022-23,North East,3.0
Of which under PDR: storage to residential,2023-24,North East,13.0
Of which under PDR: light industrial use to residential,2015-16,North East,
Of which under PDR: light industrial use to residential,2016-17,North East,
Of which under PDR: light industrial use to residential,2017-18,North East,0.0
Of which under PDR: light industrial use to residential,2018-19,North East,0.0
Of which under PDR: light industrial use to residential,2019-20,North East,3.0
Of which under PDR: light industrial use to residential,2020-21,North East,1.0
Of which under PDR: light industrial use to residential,2021-22,North East,1.0
Of which under PDR: light industrial use to residential,2022-23,North East,0.0
Of which under PDR: light industrial use to residential,2023-24,North East,0.0
Of which under PDR: light industrial use to residential,2024-25,North East,0.0
"Of which under PDR: commercial, business and service to residential",2022-23,North East,31.0
"Of which under PDR: commercial, business and service to residential",2023-24,North East,3.0
"Of which under PDR: commercial, business and service to residential",2024-25,North East,9.0
Of which under PDR: any other to residential,2015-16,North East,51.0
Of which under PDR: any other to residential,2016-17,North East,26.0
Of which under PDR: any other to residential,2017-18,North East,45.0
Of which under PDR: any other to residential,2018-19,North East,16.0
Of which under PDR: any other to residential,2019-20,North East,25.0
Of which under PDR: any other to residential,2020-21,North East,28.0
Of which under PDR: any other to residential,2021-22,North East,17.0
Of which under PDR: any other to residential,2022-23,North East,8.0
Of which under PDR: any other to residential,2023-24,North East,30.0
Of which under PDR: any other to residential,2024-25,North East,40.0
Of which under PDR: unspecified to residential,2015-16,North East,0.0
Of which under PDR: unspecified to residential,2016-17,North East,0.0
Of which under PDR: unspecified to residential,2017-18,North East,0.0
Of which under PDR: unspecified to residential,2018-19,North East,0.0
Of which under PDR: unspecified to residential,2019-20,North East,0.0
Of which under PDR: unspecified to residential,2020-21,North East,0.0
Of which under PDR: unspecified to residential,2021-22,North East,0.0
Of which under PDR: unspecified to residential,2022-23,North East,0.0
Of which under PDR: unspecified to residential,2023-24,North East,0.0
Of which under PDR: unspecified to residential,2024-25,North East,0.0
Of which under PDR: total to residential,2015-16,North East,249.0
Of which under PDR: total to residential,2016-17,North East,456.0
Of which under PDR: total to residential,2017-18,North East,294.0
Of which under PDR: total to residential,2018-19,North East,367.0
Of which under PDR: total to residential,2019-20,North East,296.0
Of which under PDR: total to residential,2020-21,North East,95.0
Of which under PDR: total to residential,2021-22,North East,118.0
Of which under PDR: total to residential,2022-23,North East,250.0
Of which under PDR: total to residential,2023-24,North East,64.0
Of which under PDR: total to residential,2024-25,North East,113.0
Net other gains and losses,2000-01,North East,
Net other gains and losses,2001-02,North East,
Net other gains and losses,2002-03,North East,
Net other gains and losses,2003-04,North East,
Net other gains and losses,2004-05,North East,
Net other gains and losses,2005-06,North East,
Net other gains and losses,2006-07,North East,-5.0
Net other gains and losses,2007-08,North East,2.0
Net other gains and losses,2008-09,North East,0.0
Net other gains and losses,2009-10,North East,9.0
Net other gains and losses,2010-11,North East,11.0
Net other gains and losses,2011-12,North East,5.0
Net other gains and losses,2012-13,North East,12.0
Net other gains and losses,2013-14,North East,9.0
Net other gains and losses,2014-15,North East,34.0
Net other gains and losses,2015-16,North East,14.0
Net other gains and losses,2016-17,North East,8.0
